Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
e07_skelet,e07_demografie,eCRF 07 Demografie en medische voorgeschiedenis,descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 07. Arm: beide.,,,,,,,,,,,,,@HIDDEN-SURVEY
e07_datum,e07_demografie,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e07_door,e07_demografie,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
e08_skelet,e08_voet_schoeisel,eCRF 08 Screening voet en schoeisel,descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 08. Arm: beide.,,,,,,,,,,,,,@HIDDEN-SURVEY
e08_datum,e08_voet_schoeisel,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e08_door,e08_voet_schoeisel,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
e09_skelet,e09_drukmeting_baseline,"eCRF 09 Drukmeting baseline, in-shoe zonder CMFO",descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 09. Arm: beide.,,,,,,,,,,,,,@HIDDEN-SURVEY
e09_datum,e09_drukmeting_baseline,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e09_door,e09_drukmeting_baseline,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
e10_skelet,e10_voorschrift_cmfo,eCRF 10 Voorschrift CMFO,descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 10. Arm: beide.,,,,,,,,,,,,,@HIDDEN-SURVEY
e10_datum,e10_voorschrift_cmfo,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e10_door,e10_voorschrift_cmfo,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
e12_skelet,e12_vas_tevredenheid,eCRF 12 Tevredenheid ulcuspreventie (VAS),descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 12. Arm: beide.,,,,,,,,,,,,,@HIDDEN-SURVEY
e12_datum,e12_vas_tevredenheid,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e12_door,e12_vas_tevredenheid,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
e13_skelet,e13_gebruik_schoeisel,eCRF 13 Gebruik en bruikbaarheid maatschoeisel,descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 13. Arm: beide.,,,,,,,,,,,,,@HIDDEN-SURVEY
e13_datum,e13_gebruik_schoeisel,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e13_door,e13_gebruik_schoeisel,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
e14_skelet,e14_naff,eCRF 14 Kennis voetzorg (NAFF),descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 14. Arm: beide.,,,,,,,,,,,,,@HIDDEN-SURVEY
e14_datum,e14_naff,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e14_door,e14_naff,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
e15_skelet,e15_hls_eu_6,eCRF 15 Gezondheidsvaardigheden (HLS-EU-6),descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 15. Arm: beide.,,,,,,,,,,,,,@HIDDEN-SURVEY
e15_datum,e15_hls_eu_6,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e15_door,e15_hls_eu_6,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
e18_skelet,e18_logboek_educatie,eCRF 18 Logboek educatie en vaardigheidstraining,descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 18. Arm: beide.,,,,,,,,,,,,,@HIDDEN-SURVEY
e18_datum,e18_logboek_educatie,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e18_door,e18_logboek_educatie,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
e20_skelet,e20_udi_movemonitor,"eCRF 20 UDI MoveMonitor, uitgifte",descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 20. Arm: beide.,,,,,,,,,,,,,@HIDDEN-SURVEY
e20_datum,e20_udi_movemonitor,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e20_door,e20_udi_movemonitor,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
e21_skelet,e21_eq5d5l,eCRF 21 Levenskwaliteit (EQ-5D-5L),descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 21. Arm: beide.,,,,,,,,,,,,,@HIDDEN-SURVEY
e21_datum,e21_eq5d5l,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e21_door,e21_eq5d5l,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
e23_skelet,e23_aanpassing_cmfo,eCRF 23 Aanpassing en controle voetorthese,descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 23. Arm: beide.,,,,,,,,,,,,,@HIDDEN-SURVEY
e23_datum,e23_aanpassing_cmfo,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e23_door,e23_aanpassing_cmfo,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
e24uc_skelet,e24_drukmeting_uc,"eCRF 24 Drukmeting, Usual Care (geblindeerd)",descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 24. Arm: Usual Care.,,,,,,,,,,,,,@HIDDEN-SURVEY
e24uc_datum,e24_drukmeting_uc,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e24uc_door,e24_drukmeting_uc,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
e24oc_skelet,e24_drukherverdeling_oc,"eCRF 24 Drukherverdeling en aanpassing, Optimal Care",descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 24. Arm: Optimal Care.,,,,,,,,,,,,,@HIDDEN-SURVEY
e24oc_datum,e24_drukherverdeling_oc,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e24oc_door,e24_drukherverdeling_oc,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
e25_skelet,e25_udi_orthotimer,"eCRF 25 UDI, activatie en uitlezing Orthotimer",descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 25. Arm: beide.,,,,,,,,,,,,,@HIDDEN-SURVEY
e25_datum,e25_udi_orthotimer,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e25_door,e25_udi_orthotimer,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
e26_skelet,e26_overtuigingen,eCRF 26 Overtuigingen en gewoontes rond schoeisel,descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 26. Arm: beide.,,,,,,,,,,,,,@HIDDEN-SURVEY
e26_datum,e26_overtuigingen,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e26_door,e26_overtuigingen,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
e27_skelet,e27_udi_movemonitor_retour,eCRF 27 Teruggave MoveMonitor,descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 27. Arm: beide.,,,,,,,,,,,,,@HIDDEN-SURVEY
e27_datum,e27_udi_movemonitor_retour,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e27_door,e27_udi_movemonitor_retour,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
e28_skelet,e28_activiteitenprofiel,eCRF 28 Rapport activiteitenprofiel (SEBIA 2),descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 28. Arm: Optimal Care.,,,,,,,,,,,,,@HIDDEN-SURVEY
e28_datum,e28_activiteitenprofiel,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e28_door,e28_activiteitenprofiel,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
e29_skelet,e29_teach_back,eCRF 29 Teach-back,descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 29. Arm: Optimal Care.,,,,,,,,,,,,,@HIDDEN-SURVEY
e29_datum,e29_teach_back,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e29_door,e29_teach_back,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
e31_skelet,e31_therapietrouw,eCRF 31 Bevraging therapietrouw schoeisel,descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 31. Arm: beide.,,,,,,,,,,,,,@HIDDEN-SURVEY
e31_datum,e31_therapietrouw,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e31_door,e31_therapietrouw,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
e32_skelet,e32_feedback_therapietrouw,eCRF 32 Feedback over therapietrouw,descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 32. Arm: Optimal Care.,,,,,,,,,,,,,@HIDDEN-SURVEY
e32_datum,e32_feedback_therapietrouw,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e32_door,e32_feedback_therapietrouw,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
e33_skelet,e33_vervanging,eCRF 33 Vervanging voetorthese of sensor,descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 33. Arm: beide.,,,,,,,,,,,,,@HIDDEN-SURVEY
e33_datum,e33_vervanging,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e33_door,e33_vervanging,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
e34_skelet,e34_imcq,eCRF 34b Medische consumptie (iMCQ),descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 34b. Arm: beide.,,,,,,,,,,,,,@HIDDEN-SURVEY
e34_datum,e34_imcq,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e34_door,e34_imcq,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
e35_skelet,e35_ipcq,eCRF 35b Productiviteit (iPCQ),descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 35b. Arm: beide.,,,,,,,,,,,,,@HIDDEN-SURVEY
e35_datum,e35_ipcq,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e35_door,e35_ipcq,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
e36_skelet,e36_pedis,eCRF 36 Classificatie ulcus (PEDIS),descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 36. Arm: beide.,,,,,,,,,,,,,@HIDDEN-SURVEY
e36_datum,e36_pedis,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e36_door,e36_pedis,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
e38_skelet,e38_wifi,eCRF 38 Classificatie ulcus (WIfI),descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 38. Arm: beide.,,,,,,,,,,,,,@HIDDEN-SURVEY
e38_datum,e38_wifi,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e38_door,e38_wifi,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
e45_skelet,e45_dagboek_baseline,"eCRF 45 Gezondheidseconomisch dagboek, baseline",descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 45. Arm: beide.,,,,,,,,,,,,,@HIDDEN-SURVEY
e45_datum,e45_dagboek_baseline,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e45_door,e45_dagboek_baseline,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
e45a_skelet,e45a_dagboek_2wk,"eCRF 45a Dagboek, tweewekelijks",descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 45a. Arm: beide.,,,,,,,,,,,,,@HIDDEN-SURVEY
e45a_datum,e45a_dagboek_2wk,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e45a_door,e45a_dagboek_2wk,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
e45b_skelet,e45b_dagboek_3mnd,"eCRF 45b Dagboek, driemaandelijks",descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 45b. Arm: beide.,,,,,,,,,,,,,@HIDDEN-SURVEY
e45b_datum,e45b_dagboek_3mnd,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e45b_door,e45b_dagboek_3mnd,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
e46_skelet,e46_ae_sae,eCRF 46 AE en SAE rapportage,descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 46. Arm: beide.,,,,,,,,,,,,,@HIDDEN-SURVEY
e46_datum,e46_ae_sae,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e46_door,e46_ae_sae,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
e47_skelet,e47_ulcus_vervolg,eCRF 47 Ulcus-vervolgformulier,descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 47. Arm: beide.,,,,,,,,,,,,,@HIDDEN-SURVEY
e47_datum,e47_ulcus_vervolg,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e47_door,e47_ulcus_vervolg,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
einde_skelet,einde_studie,"Einde studie, uitval of overlijden",descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: geen eCRF-formulier. Arm: beide.,,,,,,,,,,,,,@HIDDEN-SURVEY
einde_datum,einde_studie,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
einde_door,einde_studie,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
